station_id,city,heading,hour,is_weekend,share,n_obs,mean_total_veh_h,hw_rank,speed_kmh,lanes,oneway,dist_centre_km,radial_cos,res_behind_km,res_ahead_km,res_asym,major_behind_km,major_ahead_km,major_asym,am_pm_ratio,peak_hour_am,peak_hour_pm,weekend_ratio
06970V72811,trondheim,Oppdal,20,1,0.4664,8,1765.5,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,21,0,0.5013,20,1570.6,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,21,1,0.4621,8,1281.5,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,22,0,0.5239,20,1028.1,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,22,1,0.4941,8,948.4,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,23,0,0.578,20,689.9,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,23,1,0.5414,8,798.8,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),0,0,0.4628,20,258.4,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),0,1,0.4584,8,718.4,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),1,0,0.4935,20,159.2,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),1,1,0.4972,8,508.0,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),2,0,0.5139,20,112.8,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),2,1,0.4699,8,365.1,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),3,0,0.5525,20,123.7,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),3,1,0.4637,8,285.5,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),4,0,0.587,20,221.0,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),4,1,0.4804,8,210.5,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),5,0,0.5825,20,652.5,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),5,1,0.4846,8,176.0,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),6,0,0.6539,20,3027.7,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
